"Points_m_XYZ:0","Points_m_XYZ:1","Points_m_XYZ:2","X","Y","Z","intensity","laser_id","azimuth","distance_m","adjustedtime","timestamp","vertical_angle"
-70.22476196289062,11.0220193862915,6.219085216522217,-70.22475919789184,11.02201937614901,6.219085179501896,37.0,5.0,27892.0,71.356,829380163.0,829380163.0,5.0
-1.10643196105957,0.1740540713071823,-0.177396684885025,-1.106431920380119,0.1740540786605938,-0.1773966833556218,15.0,6.0,27894.0,1.134,829380165.0,829380165.0,-9.0
-1.313745975494385,0.2073718458414078,-0.1633049249649048,-1.313745950105504,0.2073718438746568,-0.1633049201628976,3.0,8.0,27897.0,1.34,829380170.0,829380170.0,-7.0
-69.2995376586914,10.9635705947876,11.11247825622559,-69.29953990532262,10.96357072184086,11.11247865859784,54.0,9.0,27899.0,71.036,829380172.0,829380172.0,9.0
-20.86070442199707,3.307743310928345,-1.847876071929932,-20.8607044986678,3.307743323552747,-1.847876057735849,9.0,10.0,27901.0,21.202,829380174.0,829380174.0,-5.0
-28.85301208496094,4.590518951416016,-1.531140685081482,-28.85301163378284,4.590518893091753,-1.531140735843565,12.0,12.0,27904.0,29.256,829380179.0,829380179.0,-3.0
-0.5777557492256165,0.09398999065160751,-0.1568443477153778,-0.5777557733820644,0.0939899937003064,-0.1568443413321276,11.0,0.0,27924.0,0.606,829380207.0,829380207.0,-15.0
-98.07392120361328,15.98992347717285,1.734489917755127,-98.07391778694233,15.98992340488246,1.734489961362985,63.0,1.0,27926.0,99.384,829380209.0,829380209.0,1.0
-0.6808446645736694,0.111126571893692,-0.1592653393745422,-0.6808446482385279,0.1111265691768085,-0.1592653464754564,11.0,2.0,27927.0,0.708,829380211.0,829380211.0,-13.0
-66.40904998779297,10.86299800872803,3.52660608291626,-66.40904896730645,10.86299778359176,3.526606075474527,48.0,3.0,27929.0,67.384,829380214.0,829380214.0,3.0
-0.8311417698860168,0.1362536400556564,-0.1637141108512878,-0.8311417648525844,0.1362536394904141,-0.1637141180330755,13.0,4.0,27931.0,0.858,829380216.0,829380216.0,-11.0
-1.105189800262451,0.1817741245031357,-0.177396684885025,-1.105189840585639,0.1817741263236203,-0.1773966833556218,15.0,6.0,27934.0,1.134,829380221.0,829380221.0,-9.0
-1.324017882347107,0.2184775471687317,-0.1647673547267914,-1.324017855997983,0.2184775425985583,-0.1647673522837594,2.0,8.0,27937.0,1.352,829380225.0,829380225.0,-7.0
-20.81351661682129,3.449387788772583,-1.845784306526184,-20.81351697180746,3.449387700543049,-1.845784319909905,9.0,10.0,27941.0,21.178,829380230.0,829380230.0,-5.0
-65.05256652832031,10.79271411895752,12.81778526306152,-65.05256860237041,10.79271421124633,12.81778507341477,53.0,11.0,27942.0,67.176,829380232.0,829380232.0,11.0
-29.25764846801758,4.864560127258301,-1.554377913475037,-29.2576479593491,4.86456012703058,-1.554377900415432,12.0,12.0,27944.0,29.7,829380234.0,829380234.0,-3.0
